\                                                                               
\fixlen = T
\RowsRetrieved =               161
\ 
\ koaid 
\ ___ Unique identifier for each file
\ ofname 
\ ___ Original filename at the telescope, copied from DATAFILE keyword
\ targname 
\ ___ target-name
\ koaimtyp 
\ ___ KOA image type
\ frameno 
\ ___ frame-number
\ ra (deg) 
\ ___ Right Ascension (J2000)
\ dec (deg) 
\ ___ Declination (J20000)
\ date_obs 
\ ___ universal date of observation
\ ut 
\ ___ coordinated universal time
\ elaptime 
\ ___ elapsed-time
\ equinox 
\ ___ telescope-equinox
\ progid 
\ ___ WMKO program ID
\ proginst 
\ ___ Program institution
\ progpi 
\ ___ Program principal investigator
\ progtitl 
\ ___ Title of observing program
\ filehand 
\ ___ Path to the file in the archive
\ semid 
\ ___ SEMESTER and PROGID
\ propint 
\ ___ Proprietary Period Interval
\ 
|                             koaid|                           ofname| instrument|                                                              targname|                                                              koaimtyp|          frameno|                 ra|                dec|                       date_obs|                         ut|           elaptime|            equinox|                                                                progid|  proginst|                                                                progpi|                                                                                                                                                                                                           progtitl|                                                                                                                                                filehand|                 semid|          propint| prop|
|                              char|                             char|       char|                                                                  char|                                                                  char|             long|             double|             double|                           char|                       char|             double|             double|                                                                  char|      char|                                                                  char|                                                                                                                                                                                                               char|                                                                                                                                                    char|                  char|             long| char|
|                                  |                                 |           |                                                                      |                                                                      |                 |                deg|                deg|                               |                           |                   |                   |                                                                      |          |                                                                      |                                                                                                                                                                                                                   |                                                                                                                                                        |                      |                 |     |
|                              null|                             null|       null|                                                                  null|                                                                  null|             null|               null|               null|                           null|                       null|               null|               null|                                                                  null|      null|                                                                  null|                                                                                                                                                                                                               null|                                                                                                                                                    null|                  null|             null| null|
             N1.20090531.03321.fits                       s00001.fits        NIRC                                                                   null                                                                   dark                 1           359.87942            -0.05239                      2009-05-31                 00:55:21.38             0.40952             0.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.03321.fits            2009a_u105n                18     f 
             N1.20090531.09898.fits                       s00002.fits        NIRC                                                                unknown                                                                   dark                 2           230.00000            45.00000                      2009-05-31                 02:44:58.11            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.09898.fits            2009a_u105n                18     f 
             N1.20090531.10122.fits                       s00003.fits        NIRC                                                                unknown                                                                   dark                 3           230.00000            45.00000                      2009-05-31                 02:48:42.31            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10122.fits            2009a_u105n                18     f 
             N1.20090531.10226.fits                       s00004.fits        NIRC                                                                unknown                                                                   dark                 4           230.00000            45.00000                      2009-05-31                 02:50:26.77            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10226.fits            2009a_u105n                18     f 
             N1.20090531.10295.fits                       s00005.fits        NIRC                                                                unknown                                                                   dark                 5           230.00000            45.00000                      2009-05-31                 02:51:35.02            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10295.fits            2009a_u105n                18     f 
             N1.20090531.10363.fits                       s00006.fits        NIRC                                                                unknown                                                                   dark                 6           230.00000            45.00000                      2009-05-31                 02:52:43.72            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10363.fits            2009a_u105n                18     f 
             N1.20090531.10432.fits                       s00007.fits        NIRC                                                                unknown                                                                   dark                 7           230.00000            45.00000                      2009-05-31                 02:53:52.32            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10432.fits            2009a_u105n                18     f 
             N1.20090531.10500.fits                       s00008.fits        NIRC                                                                unknown                                                                   dark                 8           230.00000            45.00000                      2009-05-31                 02:55:00.67            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10500.fits            2009a_u105n                18     f 
             N1.20090531.10569.fits                       s00009.fits        NIRC                                                                unknown                                                                   dark                 9           230.00000            45.00000                      2009-05-31                 02:56:09.27            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10569.fits            2009a_u105n                18     f 
             N1.20090531.10637.fits                       s00010.fits        NIRC                                                                unknown                                                                   dark                10           230.00000            45.00000                      2009-05-31                 02:57:17.27            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10637.fits            2009a_u105n                18     f 
             N1.20090531.10765.fits                       s00011.fits        NIRC                                                                unknown                                                                   dark                11           230.00000            45.00000                      2009-05-31                 02:59:25.92            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10765.fits            2009a_u105n                18     f 
             N1.20090531.10835.fits                       s00012.fits        NIRC                                                                unknown                                                                   dark                12           230.00000            45.00000                      2009-05-31                 03:00:35.32            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10835.fits            2009a_u105n                18     f 
             N1.20090531.10903.fits                       s00013.fits        NIRC                                                                unknown                                                                   dark                13           230.00000            45.00000                      2009-05-31                 03:01:43.92            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10903.fits            2009a_u105n                18     f 
             N1.20090531.10971.fits                       s00014.fits        NIRC                                                                unknown                                                                   dark                14           230.00000            45.00000                      2009-05-31                 03:02:51.87            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.10971.fits            2009a_u105n                18     f 
             N1.20090531.11040.fits                       s00015.fits        NIRC                                                                unknown                                                                   dark                15           230.00000            45.00000                      2009-05-31                 03:04:00.37            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11040.fits            2009a_u105n                18     f 
             N1.20090531.11109.fits                       s00016.fits        NIRC                                                                unknown                                                                   dark                16           230.00000            45.00000                      2009-05-31                 03:05:09.77            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11109.fits            2009a_u105n                18     f 
             N1.20090531.11178.fits                       s00017.fits        NIRC                                                                unknown                                                                   dark                17           230.00000            45.00000                      2009-05-31                 03:06:18.27            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11178.fits            2009a_u105n                18     f 
             N1.20090531.11246.fits                       s00018.fits        NIRC                                                                unknown                                                                   dark                18           230.00000            45.00000                      2009-05-31                 03:07:26.77            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11246.fits            2009a_u105n                18     f 
             N1.20090531.11314.fits                       s00019.fits        NIRC                                                                unknown                                                                   dark                19           230.00000            45.00000                      2009-05-31                 03:08:34.62            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11314.fits            2009a_u105n                18     f 
             N1.20090531.11419.fits                       s00020.fits        NIRC                                                                unknown                                                                   dark                20           230.00000            45.00000                      2009-05-31                 03:10:19.17            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11419.fits            2009a_u105n                18     f 
             N1.20090531.11487.fits                       s00021.fits        NIRC                                                                unknown                                                                   dark                21           230.00000            45.00000                      2009-05-31                 03:11:27.12            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11487.fits            2009a_u105n                18     f 
             N1.20090531.11555.fits                       s00022.fits        NIRC                                                                unknown                                                                   dark                22           230.00000            45.00000                      2009-05-31                 03:12:35.47            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11555.fits            2009a_u105n                18     f 
             N1.20090531.11623.fits                       s00023.fits        NIRC                                                                unknown                                                                   dark                23           230.00000            45.00000                      2009-05-31                 03:13:43.62            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11623.fits            2009a_u105n                18     f 
             N1.20090531.11692.fits                       s00024.fits        NIRC                                                                unknown                                                                   dark                24           230.00000            45.00000                      2009-05-31                 03:14:52.07            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11692.fits            2009a_u105n                18     f 
             N1.20090531.11760.fits                       s00025.fits        NIRC                                                                unknown                                                                   dark                25           230.00000            45.00000                      2009-05-31                 03:16:00.57            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11760.fits            2009a_u105n                18     f 
             N1.20090531.11829.fits                       s00026.fits        NIRC                                                                unknown                                                                   dark                26           230.00000            45.00000                      2009-05-31                 03:17:09.37            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11829.fits            2009a_u105n                18     f 
             N1.20090531.11897.fits                       s00027.fits        NIRC                                                                unknown                                                                   dark                27           230.00000            45.00000                      2009-05-31                 03:18:17.72            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11897.fits            2009a_u105n                18     f 
             N1.20090531.11965.fits                       s00028.fits        NIRC                                                                unknown                                                                   dark                28           230.00000            45.00000                      2009-05-31                 03:19:25.97            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.11965.fits            2009a_u105n                18     f 
             N1.20090531.12090.fits                       s00029.fits        NIRC                                                                unknown                                                                   dark                29           230.00000            45.00000                      2009-05-31                 03:21:30.63            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.12090.fits            2009a_u105n                18     f 
             N1.20090531.12110.fits                       s00030.fits        NIRC                                                                unknown                                                                   dark                30           230.00000            45.00000                      2009-05-31                 03:21:50.98            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.12110.fits            2009a_u105n                18     f 
             N1.20090531.12132.fits                       s00031.fits        NIRC                                                                unknown                                                                   dark                31           230.00000            45.00000                      2009-05-31                 03:22:12.23            12.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.12132.fits            2009a_u105n                18     f 
